,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (MHz),Memory Allocation Used (MB),Memory Utilization (%),Current Time,Time Delta,Iteration,GPU Clock Utilization
0,0.0,23.740000000000002,22.0,135000000.0,9437184.0,0.0,-2.2089327485384622e+18,2.0,6.076923076923077,0.09782608695652172
1,0.0,23.74,22.0,135000000.0,9437184.0,0.0,-2.2089327467499999e+18,4.0,2.0,0.0978260869565217
2,0.0,23.740000000000002,22.0,135000000.0,9437184.0,0.0,-2.2089327447142856e+18,5.857142857142857,6.714285714285714,0.09782608695652172
3,0.02,101.795,25.5,757500000.0,4447010816.0,0.02,-2.2089327424999997e+18,8.0,3.1666666666666665,0.5489130434782609
4,0.04,179.84999999999997,29.0,1380000000.0,6665797632.0,0.03,-2.208932741142857e+18,9.428571428571429,3.7142857142857144,1.0
5,0.04000000000000001,179.85000000000005,29.0,1380000000.0,6665797632.0,0.030000000000000006,-2.2089327369e+18,13.666666666666666,14.7,1.0
6,0.7953550863723609,189.69015355086373,41.01919385796545,1380000000.0,6667790127.662189,0.524299424184261,-2.2089326735566218e+18,77.0,260.0134357005758,1.0
7,0.8264227642276425,191.83065040650402,45.0,1380000000.0,6667894784.0,0.5499999999999998,-2.2089325965365855e+18,154.0,61.0650406504065,1.0
8,0.8254285714285716,190.8208571428571,45.0,1380000000.0,6667894784.0,0.5597142857142858,-2.2089325779428572e+18,172.62857142857143,17.257142857142856,1.0
9,0.8292134831460676,187.35943820224722,45.0,1380000000.0,6667894784.0,0.5700000000000002,-2.2089325633258424e+18,187.23595505617976,43.752808988764045,1.0
10,0.84,182.42999999999998,45.0,1380000000.0,6667894784.0,0.5700000000000001,-2.2089325523333332e+18,198.0,6.0,1.0
11,0.8400000000000001,182.43,45.0,1380000000.0,6667894784.0,0.5700000000000001,-2.2089325516000003e+18,199.0,3.0,1.0
12,0.84,182.43,45.0,1380000000.0,6667894784.0,0.5700000000000001,-2.2089325498749998e+18,200.75,6.75,1.0
13,0.8149999999999998,178.5391666666667,44.416666666666664,1380000000.0,6667894784.0,0.5583333333333332,-2.2089325472499996e+18,203.33333333333334,8.5,1.0
14,0.79,175.76,44.0,1380000000.0,6667894784.0,0.55,-2.20893254264e+18,207.88,12.6,1.0
15,0.79,175.76,44.0,1380000000.0,6667894784.0,0.55,-2.2089325366249997e+18,213.91666666666666,12.166666666666666,1.0
16,0.7985714285714287,171.08857142857147,44.0,1380000000.0,6669692342.857142,0.532857142857143,-2.2089325300000003e+18,220.57142857142858,17.485714285714284,1.0
17,0.8000000000000002,170.31000000000003,44.0,1380000000.0,6669991936.0,0.5299999999999999,-2.2089325227499994e+18,227.82142857142858,14.142857142857142,1.0
18,0.8000000000000002,183.96789473684206,44.0,1380000000.0,6669991936.0,0.5218421052631579,-2.2089325147631583e+18,235.81578947368422,19.0,1.0
19,0.8027272727272728,183.72909090909093,44.0,1380000000.0,6669991936.0,0.5347727272727274,-2.2089325049090908e+18,245.6590909090909,19.045454545454547,1.0
20,0.8100000000000002,173.38,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089324992e+18,251.6,11.0,1.0
21,0.81,173.38,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089324973333335e+18,253.22222222222223,10.0,1.0
22,0.8100000000000002,173.38000000000002,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089324938947372e+18,256.63157894736844,14.0,1.0
23,0.8099999999999999,180.15692307692308,44.0,1380000000.0,6669991936.0,0.5615384615384615,-2.2089324881153848e+18,262.46153846153845,13.423076923076923,1.0
24,0.8099999999999998,191.0,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.2089324800769224e+18,270.46153846153845,19.641025641025642,1.0
25,0.8175000000000001,188.23999999999995,44.0,1380000000.0,6669991936.0,0.5576923076923077,-2.2089324694230769e+18,281.13461538461536,26.0,1.0
26,0.826987951807229,188.12361445783134,44.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089324537710845e+18,296.7590361445783,41.325301204819276,1.0
27,0.82135593220339,190.63813559322037,44.0,1380000000.0,6669991936.0,0.56,-2.2089324373559316e+18,313.22033898305085,29.47457627118644,1.0
28,0.8209876543209879,186.71283950617283,44.75308641975309,1380000000.0,6669991936.0,0.5588888888888889,-2.2089324202222223e+18,330.34567901234567,40.358024691358025,1.0
29,0.8243859649122808,190.7163157894737,43.8421052631579,1380000000.0,6669991936.0,0.5499999999999999,-2.2089324029473687e+18,347.63157894736844,22.80701754385965,1.0
30,0.79,194.27,43.0,1380000000.0,6669991936.0,0.55,-2.2089323935e+18,357.0,2.5,1.0
31,0.79,194.27,43.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323921666665e+18,358.3333333333333,3.1666666666666665,1.0
32,0.79,194.27,43.0,1380000000.0,6669991936.0,0.55,-2.2089323906e+18,360.0,7.0,1.0
33,0.79,194.27,43.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323887142856e+18,361.85714285714283,13.0,1.0
34,0.7899999999999999,194.27,43.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323849999995e+18,365.57142857142856,7.714285714285714,1.0
35,0.8300000000000001,183.74,44.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323815e+18,369.0,8.5,1.0
36,0.8300000000000001,183.73999999999998,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.208932378e+18,372.6666666666667,12.5,1.0
37,0.8300000000000001,183.74,44.0,1380000000.0,6669991936.0,0.55,-2.2089323734705882e+18,377.11764705882354,23.823529411764707,1.0
38,0.8141666666666667,187.1011111111111,44.0,1380000000.0,6669991936.0,0.5388888888888891,-2.2089323671944448e+18,383.3333333333333,21.5,1.0
39,0.7997727272727271,189.7025,44.0,1380000000.0,6669991936.0,0.5309090909090911,-2.2089323576363638e+18,392.9318181818182,9.522727272727273,1.0
40,0.79,185.94000000000003,44.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323516666668e+18,398.8333333333333,14.5,1.0
41,0.79,185.94,44.0,1380000000.0,6669991936.0,0.55,-2.2089323498888888e+18,400.6666666666667,7.222222222222222,1.0
42,0.79,185.94,44.0,1380000000.0,6669991936.0,0.55,-2.208932346470588e+18,404.11764705882354,16.0,1.0
43,0.7899999999999998,185.94,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.2089323419499996e+18,408.7,28.35,1.0
44,0.8135714285714286,179.48809523809527,44.0,1380000000.0,6669991936.0,0.5661904761904762,-2.2089323347619052e+18,415.7857142857143,12.738095238095237,1.0
45,0.8200000000000001,177.96999999999997,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089323275500004e+18,423.0,36.5,1.0
46,0.8045833333333333,188.55354166666666,44.0,1380000000.0,6669991936.0,0.5541666666666667,-2.2089323196458332e+18,430.8958333333333,13.395833333333334,1.0
47,0.8000000000000003,191.69999999999993,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.2089323112758623e+18,439.2413793103448,15.379310344827585,1.0
48,0.8374193548387096,178.47225806451624,44.0,1380000000.0,6669991936.0,0.5593548387096774,-2.2089323043870963e+18,446.19354838709677,22.64516129032258,1.0
49,0.8342857142857141,177.11999999999998,43.857142857142854,1380000000.0,6669991936.0,0.5599999999999999,-2.2089322958095237e+18,454.6904761904762,10.857142857142858,1.0
50,0.8000000000000002,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322909999997e+18,459.3333333333333,7.333333333333333,1.0
51,0.8000000000000002,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322903333335e+18,460.0,3.0,1.0
52,0.8000000000000002,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322896666665e+18,461.0,6.0,1.0
53,0.8,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322883333335e+18,462.1111111111111,8.88888888888889,1.0
54,0.8000000000000002,174.47999999999993,43.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089322843571428e+18,466.25,14.5,1.0
55,0.8000000000000002,174.48,43.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089322797499999e+18,470.75,34.5,1.0
56,0.8000000000000003,188.73600000000005,43.0,1380000000.0,6669991936.0,0.5686666666666669,-2.2089322764000003e+18,474.1333333333333,9.733333333333333,1.0
57,0.8000000000000002,192.30000000000004,43.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089322743333335e+18,476.0,6.0,1.0
58,0.7999999999999998,192.3,43.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089322688095235e+18,481.76190476190476,12.19047619047619,1.0
59,0.8,189.78375,43.0,1380000000.0,6669991936.0,0.5625,-2.2089322618125e+18,488.6875,8.5,1.0
60,0.8000000000000002,188.63999999999996,43.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089322574500004e+18,493.1,12.1,1.0
61,0.8000000000000002,188.64000000000001,43.0,1380000000.0,6669991936.0,0.56,-2.2089322518846154e+18,498.65384615384613,11.653846153846153,1.0
62,0.8075999999999999,187.99200000000002,43.8,1380000000.0,6669991936.0,0.536,-2.20893224588e+18,504.72,31.0,1.0
63,0.81,187.82999999999998,44.0,1380000000.0,6669991936.0,0.5299999999999999,-2.2089322403333332e+18,510.23809523809524,32.666666666666664,1.0
64,0.6015789473684209,182.7205263157895,43.36842105263158,1380000000.0,6669991936.0,0.37210526315789483,-2.2089322300526316e+18,520.5263157894736,14.75438596491228,1.0
65,0.7417241379310343,176.92448275862063,43.793103448275865,1380000000.0,6669991936.0,0.47827586206896544,-2.208932215241379e+18,535.3793103448276,11.275862068965518,1.0
66,0.8099999999999998,176.1899999999999,44.0,1380000000.0,6669991936.0,0.5299999999999999,-2.2089322077666668e+18,542.7333333333333,32.5,1.0
67,0.8033333333333336,187.54,44.0,1380000000.0,6669991936.0,0.5514285714285716,-2.2089322016190472e+18,548.952380952381,11.0,1.0
68,0.7999999999999998,192.08,44.0,1380000000.0,6669991936.0,0.5599999999999999,-2.2089321939523814e+18,556.6666666666666,42.5,1.0
