,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (MHz),Memory Current Clock (MHz),Memory Allocation Used (MB),Memory Utilization (%),Current Time,Time Delta,Iteration,GPU Clock Utilization,Memory Clock Utilization
37,0.75,236.62,61.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.20894202e+18,117.0,3.0,0.9893617021276596,1.0
38,0.75,236.62,61.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208942019e+18,118.0,5.0,0.9893617021276596,1.0
39,0.75,236.62,61.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089420175e+18,119.5,7.5,0.9893617021276596,1.0
40,0.75,236.62,61.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089420155e+18,121.5,2.5,0.9893617021276596,1.0
41,0.75,236.61999999999995,61.0,1395000000.0,1215000000.0,6810501120.0,0.39000000000000007,-2.208942011857143e+18,125.14285714285714,3.142857142857143,0.9893617021276596,1.0
42,0.75,236.62,61.0,1395000000.0,1215000000.0,6810501120.0,0.32,-2.2089420085e+18,128.5,8.5,0.9893617021276596,1.0
43,0.5,75.35,58.0,1410000000.0,1215000000.0,6810501120.0,0.25,-2.208942006e+18,131.0,3.5,1.0,1.0
44,0.5,75.35,58.0,1410000000.0,1215000000.0,6810501120.0,0.25,-2.2089420035e+18,133.5,2.5,1.0,1.0
45,0.5,75.35,58.0,1410000000.0,1215000000.0,6810501120.0,0.25,-2.2089420013333332e+18,135.66666666666666,1.6666666666666667,1.0,1.0
46,0.5,75.35,58.0,1410000000.0,1215000000.0,6810501120.0,0.25,-2.2089419984e+18,138.4,4.0,1.0,1.0
47,0.5,75.35000000000001,58.0,1410000000.0,1215000000.0,6810501120.0,0.25,-2.2089419945e+18,142.33333333333334,3.8333333333333335,1.0,1.0
48,0.75,233.54,63.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941990125e+18,146.875,10.5,0.9893617021276596,1.0
49,0.75,233.54,63.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941986e+18,150.75,9.0,0.9893617021276596,1.0
50,0.75,233.54,63.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941984e+18,153.0,2.0,0.9893617021276596,1.0
51,0.75,233.54000000000002,63.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089419808888886e+18,156.0,8.0,0.9893617021276595,1.0
52,0.76,241.08,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.2089419762e+18,160.6,7.0,1.0,1.0
53,0.7600000000000001,241.08,65.0,1410000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089419733333332e+18,163.33333333333334,1.6666666666666667,1.0,1.0
54,0.76,241.08,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.2089419715e+18,165.5,1.0,1.0,1.0
55,0.76,241.08,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.2089419695e+18,167.5,2.0,1.0,1.0
56,0.76,241.08,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.20894196575e+18,171.25,2.375,1.0,1.0
57,0.78,236.72,65.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089419578235295e+18,179.05882352941177,2.588235294117647,0.9893617021276595,1.0
58,0.78,236.72,65.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941952e+18,185.0,1.5,0.9893617021276596,1.0
59,0.7799999999999998,246.8333333333333,65.0,1385000000.0,1215000000.0,6810501120.0,0.3926666666666666,-2.2089419462e+18,190.66666666666666,3.8666666666666667,0.9822695035460994,1.0
60,0.7799999999999999,251.89,65.0,1380000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089419393333332e+18,197.66666666666666,2.0,0.9787234042553191,1.0
61,0.78,251.89,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.208941937e+18,199.5,1.5,0.9787234042553192,1.0
62,0.78,251.89,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.2089419355e+18,201.5,1.5,0.9787234042553192,1.0
63,0.78,251.89,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.208941934e+18,203.0,3.0,0.9787234042553192,1.0
64,0.35,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18,-2.208941933e+18,204.0,1.0,1.0,1.0
65,0.3499999999999999,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18000000000000002,-2.2089419309999997e+18,206.0,4.0,1.0,1.0
66,0.3499999999999999,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18000000000000002,-2.2089419283333332e+18,208.33333333333334,1.3333333333333333,1.0,1.0
67,0.35,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18,-2.208941926e+18,211.0,1.75,1.0,1.0
68,0.35,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18,-2.2089419228000003e+18,214.0,2.2,1.0,1.0
69,0.35,75.08,61.0,1410000000.0,1215000000.0,6810501120.0,0.18,-2.20894192e+18,217.0,2.0,1.0,1.0
70,0.16333333333333336,196.81333333333336,62.666666666666664,1410000000.0,1215000000.0,6810501120.0,0.04666666666666666,-2.2089419171666668e+18,219.66666666666666,2.0,1.0,1.0
71,0.07,257.68,63.0,1410000000.0,1215000000.0,6810501120.0,0.02,-2.2089419136666665e+18,223.0,2.6666666666666665,1.0,1.0
72,0.07,257.68,63.0,1410000000.0,1215000000.0,6810501120.0,0.02,-2.2089419113333332e+18,225.33333333333334,5.0,1.0,1.0
73,0.07,257.68,63.0,1410000000.0,1215000000.0,6810501120.0,0.02,-2.2089419093333332e+18,227.66666666666666,9.0,1.0,1.0
74,0.07,257.68,63.0,1410000000.0,1215000000.0,6810501120.0,0.02,-2.2089419075e+18,229.5,12.5,1.0,1.0
75,0.3033333333333334,249.26333333333332,64.0,1403333333.3333333,1215000000.0,6810501120.0,0.1888888888888889,-2.2089419035555558e+18,233.44444444444446,6.555555555555555,0.9952718676122932,1.0
76,0.77,232.43,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089418992500001e+18,237.75,10.5,0.9893617021276596,1.0
77,0.77,232.43,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941897e+18,240.0,14.0,0.9893617021276596,1.0
78,0.77,232.43,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089418955e+18,241.0,8.5,0.9893617021276596,1.0
79,0.77,232.42999999999998,66.0,1395000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.2089418936666665e+18,243.33333333333334,2.6666666666666665,0.9893617021276596,1.0
80,0.77,232.43,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089418915e+18,245.5,2.5,0.9893617021276596,1.0
81,0.77,232.43,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.20894189e+18,247.0,5.5,0.9893617021276596,1.0
82,0.77,231.035,66.0,1387500000.0,1215000000.0,6810501120.0,0.4,-2.208941888e+18,248.5,2.5,0.9840425531914894,1.0
83,0.77,229.64,66.0,1380000000.0,1215000000.0,6810501120.0,0.4,-2.208941886e+18,251.0,6.5,0.9787234042553192,1.0
84,0.77,229.63999999999996,66.0,1380000000.0,1215000000.0,6810501120.0,0.39999999999999997,-2.2089418825e+18,254.16666666666666,12.5,0.9787234042553193,1.0
85,0.77,229.64,66.0,1380000000.0,1215000000.0,6810501120.0,0.4,-2.20894188e+18,257.0,17.5,0.9787234042553192,1.0
86,0.77,229.64,66.0,1380000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.2089418776666665e+18,259.0,21.0,0.9787234042553191,1.0
87,0.77,229.64,66.0,1380000000.0,1215000000.0,6810501120.0,0.4,-2.2089418755e+18,261.0,2.5,0.9787234042553192,1.0
88,0.7675000000000001,235.61249999999998,65.75,1383750000.0,1215000000.0,6810501120.0,0.4,-2.2089418734999997e+18,263.5,2.0,0.9813829787234043,1.0
89,0.76,253.53,65.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941871e+18,266.0,2.5,0.9893617021276596,1.0
90,0.7600000000000001,253.53,65.0,1395000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.2089418690000003e+18,267.6666666666667,6.0,0.9893617021276596,1.0
91,0.7600000000000001,253.53,65.0,1395000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.2089418666666668e+18,270.3333333333333,2.0,0.9893617021276596,1.0
92,0.76,253.53,65.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941865e+18,272.0,5.5,0.9893617021276596,1.0
93,0.76,253.53000000000003,65.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089418626e+18,274.4,7.8,0.9893617021276595,1.0
94,0.766875,248.408125,65.6875,1395000000.0,1215000000.0,6810501120.0,0.3925,-2.2089418561875e+18,280.75,5.75,0.9893617021276596,1.0
95,0.768125,245.1725,65.9375,1395937500.0,1215000000.0,6810501120.0,0.39,-2.2089418467499999e+18,290.125,5.0,0.990026595744681,1.0
96,0.74,231.56,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.208941841e+18,296.0,3.5,1.0,1.0
