GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Response Time,Eval Rate
0.0,23.74,22.0,135000000.0,9437184.0,0.0,-2.2089327486666673e+18,1.9166666666666667,6.5,2.606602931,92.84874336189516
0.0,23.74,22.0,135000000.0,9437184.0,0.0,-2.2089327469999997e+18,3.6666666666666665,2.0,0.522210414,82.67283473343726
0.0,23.740000000000002,22.0,135000000.0,9437184.0,0.0,-2.2089327452307692e+18,5.3076923076923075,7.0,2.582972253,82.58948737625184
0.0,23.74,22.0,135000000.0,9437184.0,0.0,-2.2089327434000003e+18,7.2,3.0,0.955865074,82.79525102171237
0.03333333333333333,153.83166666666668,27.833333333333332,1172500000.0,6665797632.0,0.03,-2.2089327421666665e+18,8.5,3.5,1.14516614,82.97262963686771
0.04000000000000001,179.85000000000005,29.0,1380000000.0,6665797632.0,0.030000000000000002,-2.2089327381034486e+18,12.413793103448276,15.0,6.386830812,80.88325401037427
0.7859038461538462,189.4884423076923,40.82692307692308,1380000000.0,6667765728.492308,0.51825,-2.2089326750980767e+18,75.45961538461539,260.5,122.640793729,74.4351584016499
0.8275409836065575,192.1912295081967,45.0,1380000000.0,6667894784.0,0.5499999999999998,-2.2089325982622953e+18,152.27868852459017,61.5,27.975641723,79.60543720816251
0.8279411764705884,190.4741176470588,45.0,1380000000.0,6667894784.0,0.5547058823529412,-2.2089325799411766e+18,170.61764705882354,17.5,7.853273721,81.88426196767621
0.8270454545454548,188.35022727272727,45.0,1380000000.0,6667894784.0,0.5700000000000002,-2.2089325655681818e+18,185.0,44.5,20.550966785,80.03035519829285
0.84,182.43,45.0,1380000000.0,6667894784.0,0.5700000000000001,-2.208932555e+18,195.5,1.5,0.433608733,82.66321411445283
0.84,182.43,45.0,1380000000.0,6667894784.0,0.5700000000000001,-2.2089325542500001e+18,196.25,2.5,0.652938889,83.22733859551344
0.84,182.43000000000004,45.0,1380000000.0,6667894784.0,0.5700000000000002,-2.2089325528571428e+18,197.57142857142858,4.0,1.475372556,82.57524124645032
0.84,182.43000000000004,45.0,1380000000.0,6667894784.0,0.5700000000000002,-2.208932550818182e+18,199.8181818181818,6.0,2.521371272,82.5055145593346
0.8066666666666666,177.70541666666668,44.291666666666664,1380000000.0,6667894784.0,0.5558333333333333,-2.2089325462500001e+18,204.29166666666666,12.5,5.908727855,80.00005088482895
0.7899999999999998,175.76000000000005,44.0,1380000000.0,6667894784.0,0.5500000000000003,-2.208932540391304e+18,210.1304347826087,12.0,5.411088269,80.44884756135117
0.7938235294117648,173.67617647058822,44.0,1380000000.0,6668696636.235294,0.5423529411764707,-2.208932533617647e+18,216.94117647058823,17.5,7.606308259,80.40267516146987
