,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
0,0.0,24.37,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:38,1,Live,1,True,0.09782608695652174,1.0
1,0.0,24.37,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:40,2,Live,2,True,0.09782608695652174,1.0
2,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:41,3,Live,3,True,0.09782608695652174,1.0
3,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:43,5,Live,4,True,0.09782608695652174,1.0
4,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:44,6,Live,5,True,0.09782608695652174,1.0
5,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:46,8,Live,6,True,0.09782608695652174,1.0
6,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:47,9,Live,7,True,0.09782608695652174,1.0
7,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:49,11,Live,8,True,0.09782608695652174,1.0
8,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:50,13,Live,9,True,0.09782608695652174,1.0
9,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:52,14,Live,10,True,0.09782608695652174,1.0
10,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:53,16,Live,11,True,0.09782608695652174,1.0
11,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:55,17,Live,12,True,0.09782608695652174,1.0
12,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:45:56,19,Live,13,True,0.9833333333333333,1.0
13,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:45:58,20,Live,14,True,0.9833333333333333,1.0
14,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:00,22,Live,15,True,0.9833333333333333,1.0
