,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
47,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:45,66,Live,48,True,0.09782608695652174,1.0
48,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:47,67,Live,49,True,0.09782608695652174,1.0
49,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:48,69,Live,50,True,0.09782608695652174,1.0
50,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:49,70,Live,51,True,0.09782608695652174,1.0
51,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:51,71,Live,52,True,0.09782608695652174,1.0
52,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:52,73,Live,53,True,0.09782608695652174,1.0
53,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:53,74,Live,54,True,0.09782608695652174,1.0
54,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:55,75,Live,55,True,0.09782608695652174,1.0
55,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:56,77,Live,56,True,0.09782608695652174,1.0
56,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:58,78,Live,57,True,0.09782608695652174,1.0
57,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:45:59,79,Live,58,True,0.09782608695652174,1.0
58,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:00,81,Live,59,True,0.09782608695652174,1.0
59,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:02,82,Live,60,True,0.09782608695652174,1.0
60,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:03,83,Live,61,True,0.09782608695652174,1.0
61,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:04,85,Live,62,True,0.09782608695652174,1.0
62,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:06,86,Live,63,True,0.09782608695652174,1.0
63,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:07,87,Live,64,True,0.09782608695652174,1.0
64,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:08,89,Live,65,True,0.09782608695652174,1.0
65,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:10,90,Live,66,True,0.09782608695652174,1.0
66,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:11,91,Live,67,True,0.09782608695652174,1.0
67,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:13,93,Live,68,True,0.09782608695652174,1.0
68,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:14,94,Live,69,True,0.09782608695652174,1.0
69,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:15,96,Live,70,True,0.09782608695652174,1.0
70,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:17,97,Live,71,True,0.09782608695652174,1.0
71,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:18,98,Live,72,True,0.09782608695652174,1.0
72,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:19,100,Live,73,True,0.09782608695652174,1.0
73,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:21,101,Live,74,True,0.09782608695652174,1.0
74,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:22,103,Live,75,True,0.09782608695652174,1.0
75,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:24,104,Live,76,True,0.09782608695652174,1.0
76,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:25,105,Live,77,True,0.09782608695652174,1.0
77,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:26,107,Live,78,True,0.09782608695652174,1.0
78,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:28,108,Live,79,True,0.09782608695652174,1.0
79,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:29,110,Live,80,True,0.09782608695652174,1.0
80,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:31,111,Live,81,True,0.09782608695652174,1.0
81,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:32,112,Live,82,True,0.09782608695652174,1.0
82,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:33,114,Live,83,True,0.09782608695652174,1.0
83,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:35,115,Live,84,True,0.09782608695652174,1.0
84,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:36,117,Live,85,True,0.09782608695652174,1.0
85,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:38,118,Live,86,True,0.09782608695652174,1.0
86,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:39,120,Live,87,True,0.09782608695652174,1.0
87,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:41,121,Live,88,True,0.09782608695652174,1.0
88,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:42,122,Live,89,True,0.09782608695652174,1.0
89,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:44,124,Live,90,True,0.09782608695652174,1.0
90,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:45,125,Live,91,True,0.09782608695652174,1.0
91,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:46,127,Live,92,True,0.09782608695652174,1.0
92,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:48,128,Live,93,True,0.09782608695652174,1.0
93,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:49,129,Live,94,True,0.09782608695652174,1.0
94,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:50,131,Live,95,True,0.09782608695652174,1.0
