,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
233,3.350021267046396e-19,1.170198645025436e-16,6.383148630453266e-10,3.0831518366545e-09,4936546391
234,1.3581167329099892e-20,3.490812709156309e-17,6.383148644676948e-10,3.0831518435247406e-09,4178658102
235,1.3581167360934268e-20,3.490812717338804e-17,6.383148659639105e-10,3.0831518507516754e-09,5037755401
236,7.366754436576992e-20,4.896175466844292e-17,6.383148676609448e-10,3.083151858948594e-09,5614070594
237,3.4405624159980015e-19,1.1220307826382958e-16,6.383148692838398e-10,3.0831518667874074e-09,4566014367
238,3.4405624246668563e-19,1.1220307854653691e-16,6.383148708921405e-10,3.083151874555729e-09,5746562851
239,3.4235859737356535e-19,1.122930540565503e-16,6.34919580583703e-10,3.083151882121383e-09,4405829388
240,3.395291883602519e-19,1.1244301307322586e-16,6.315242903500685e-10,3.0831518901335822e-09,6436195757
241,3.3855910610770697e-19,1.1280291439364191e-16,6.300691673838272e-10,3.0831519005404317e-09,7374468634
242,3.3500213464642864e-19,1.1412255151759215e-16,6.247337105568534e-10,3.083151909745801e-09,4831562084
243,3.350021353794391e-19,1.1412255176730111e-16,6.247337119238189e-10,3.083151916491975e-09,3699967352
244,3.370915466382676e-19,1.125074378061414e-16,6.247337135010868e-10,3.083151924276022e-09,6580022043
245,3.3952919306472994e-19,1.1062313815639652e-16,6.247337152391028e-10,3.083151932853385e-09,4931457106
246,3.395291937551904e-19,1.1062313838135779e-16,6.247337165095502e-10,3.0831519391232283e-09,3244475550
247,3.39529194666452e-19,1.1186484544732478e-16,6.247337181862716e-10,3.083151947398092e-09,7066939297
248,3.395291955667344e-19,1.1236152845288462e-16,6.247337198427912e-10,3.0831519555732583e-09,3978259288
249,3.391176458291469e-19,1.1169399374118782e-16,6.259683729443355e-10,3.083151962869278e-09,5734704198
250,3.350021412350976e-19,1.0501864422124044e-16,6.3831489073174e-10,3.0831519703838246e-09,4482745134
251,3.3500214214082896e-19,1.0501864450517499e-16,6.383148924575254e-10,3.083151978719614e-09,6576298561
252,3.417927273764542e-19,1.0367071397486947e-16,6.332219568447885e-10,3.0831519902055573e-09,9059681954
253,3.440562566809549e-19,1.0322140406029545e-16,6.315243132499105e-10,3.083152001932435e-09,7281844862
254,1.0366958291895506e-19,1.0305435600547532e-16,6.315243151613201e-10,3.083152011264088e-09,5082573490
255,7.695995256990354e-20,1.0303579532300028e-16,6.315243166765614e-10,3.083152018661617e-09,5408105836
256,2.456523573562438e-19,1.091439856918707e-16,6.31524319275193e-10,3.0831520313483443e-09,11424816773
257,3.4405626137418e-19,1.1196315074087134e-16,6.315243218644489e-10,3.083152043989297e-09,6944944664
258,3.3198411274374905e-19,1.1556065160871047e-16,6.315243235602681e-10,3.083152052268422e-09,4738649675
259,3.304750949304838e-19,1.1601033948888464e-16,6.315243252438696e-10,3.083152060487899e-09,6349411238
260,3.3228591824595395e-19,1.1467485824370928e-16,6.315243269115882e-10,3.083152068629833e-09,5275975513
261,3.395292088777409e-19,1.0933293231475098e-16,6.31524328512598e-10,3.0831520764460915e-09,4942718917
262,3.3952920974269084e-19,1.0933293259327638e-16,6.315243301214051e-10,3.083152084300414e-09,5464326513
