GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Resonse Time,Eval Rate
0.0,39.09000000000002,28.0,1080000000.0,490209280.0,0.028571428571428574,-2.208942132e+18,4.928571428571429,7.5,8128572456,103.98258682187355
0.7699999999999999,232.6,38.0,1410000000.0,6808403968.0,0.4,-2.208942125e+18,12.0,5.5,5280317649,102.92963695052825
0.7699999999999998,232.59999999999997,38.0,1410000000.0,6808403968.0,0.39000000000000007,-2.2089421174e+18,19.533333333333335,8.0,8734937890,102.25277952099617
0.49,62.74,41.0,1410000000.0,6808403968.0,0.25,-2.2089421123333332e+18,24.666666666666668,2.0,1361475752,104.4195258051713
0.49000000000000005,62.739999999999995,41.0,1410000000.0,6808403968.0,0.25,-2.2089421096e+18,27.4,3.0,2794903187,106.08586955892918
0.4900000000000001,62.74,41.0,1410000000.0,6808403968.0,0.25,-2.2089421058571428e+18,31.0,4.0,3919258140,103.00902183263962
0.49,62.74,41.0,1410000000.0,6808403968.0,0.25,-2.2089421035e+18,33.5,1.5,756017183,104.76016970623691
0.49,62.74,41.0,1410000000.0,6808403968.0,0.25,-2.208942102e+18,35.0,1.5,1006696010,106.9462027522452
0.49,62.74,41.0,1410000000.0,6808403968.0,0.25,-2.2089421005e+18,36.5,1.5,862559799,106.26047926763823
0.49,62.74,43.0,1410000000.0,6808403968.0,0.29,-2.208942099e+18,38.0,2.5,2222955005,105.91914272569083
0.78,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.208942097e+18,40.0,1.5,742409402,105.75751644419026
0.7799999999999999,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.2089420956666668e+18,41.333333333333336,2.0,1566610263,104.56141133888354
0.78,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.208942094e+18,42.5,1.5,1108569530,104.6204800977453
0.7799999999999999,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.2089420926666668e+18,44.333333333333336,2.0,1134151538,105.59168302462624
0.78,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.208942091e+18,46.0,1.5,1020455215,105.46065042730451
0.7800000000000001,221.99,49.0,1410000000.0,6808403968.0,0.41,-2.2089420878333338e+18,49.0,3.5,3905303605,104.47017281787375
0.78,221.99,49.0,1410000000.0,6808403968.0,0.3075,-2.2089420845000003e+18,52.5,2.5,2199016650,104.5306881861292
0.0,66.16,47.0,1410000000.0,6808403968.0,0.0,-2.2089420825e+18,54.5,1.5,1419990925,105.23534512399395
0.0,66.16,47.0,1410000000.0,6808403968.0,0.0,-2.2089420803333332e+18,56.666666666666664,2.0,1518528836,106.25614290307519
0.0,66.15999999999998,47.0,1410000000.0,6808403968.0,0.0,-2.2089420775e+18,59.5,3.5,2948544927,104.52088155361666
0.0,66.16,47.0,1410000000.0,6808403968.0,0.0,-2.2089420745e+18,62.25,2.5,1807409173,106.26264156346126
0.0,66.16,47.0,1410000000.0,6808403968.0,0.0,-2.208942071125e+18,65.875,4.5,4083565646,103.53292303793097
0.0,66.16,49.5,1410000000.0,6808403968.0,0.19,-2.2089420685e+18,68.5,1.5,668772340,105.34445300998892
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38,-2.2089420665e+18,70.25,2.5,1900603551,105.75095912341128
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38,-2.208942065e+18,72.0,1.5,1020385156,105.3250545467135
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38000000000000006,-2.2089420633333332e+18,73.66666666666667,2.0,1493326726,104.64893534194283
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38,-2.208942062e+18,75.0,1.5,915104589,105.47509847229263
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38,-2.2089420605e+18,76.5,2.5,2069725436,105.49161234751703
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38,-2.208942058e+18,78.75,2.5,1699217358,105.63011393687837
0.71,70.09,52.0,1410000000.0,6808403968.0,0.38000000000000006,-2.208942056e+18,81.0,2.0,1719646951,105.6492402411482
0.75375,178.815,55.125,1400625000.0,6808403968.0,0.3925,-2.2089420525e+18,84.375,4.5,4357412527,103.73775115716435
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.2089420495e+18,87.5,1.5,668981451,104.56206375399975
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.2089420485e+18,88.5,1.5,908171878,104.20306895364858
0.7799999999999999,244.05000000000004,57.0,1395000000.0,6808403968.0,0.4000000000000001,-2.2089420469999997e+18,89.66666666666667,2.0,1574765074,103.79641219477378
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.2089420455e+18,91.5,1.5,790868558,104.78205663331569
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.208942044e+18,93.0,1.0,550277880,105.1754593622225
0.7799999999999999,244.05000000000004,57.0,1395000000.0,6808403968.0,0.4000000000000001,-2.2089420433333332e+18,93.66666666666667,2.0,1202054044,105.9762854906732
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.208942042e+18,95.0,1.0,412070719,106.04431315525578
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.208942041e+18,96.0,1.0,511125921,103.81654138428746
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.2089420405e+18,96.5,1.5,864530880,106.13103056884438
0.78,244.05,57.0,1395000000.0,6808403968.0,0.4,-2.208942039e+18,97.5,1.5,796091998,104.98602372868415
